,name,price,point,home_team,away_team,bookmakers.title,commence_time,price1,point1,price2,point2,Bet
289,Under,1.88,136.0,Ohio Bobcats,Kent State Golden Flashes,BetRivers,2022-01-07T23:30:00Z,1.91,148.0,1.86,149.5,True
290,Over,1.91,136.0,Ohio Bobcats,Kent State Golden Flashes,BetUS,2022-01-07T23:30:00Z,1.87,148.0,1.91,148.0,True
291,Under,1.91,136.0,Ohio Bobcats,Kent State Golden Flashes,BetUS,2022-01-07T23:30:00Z,1.95,148.0,1.91,148.0,True
292,Over,1.87,135.0,Ohio Bobcats,Kent State Golden Flashes,DraftKings,2022-01-07T23:30:00Z,1.92,147.5,1.91,148.5,True
293,Under,1.95,135.0,Ohio Bobcats,Kent State Golden Flashes,DraftKings,2022-01-07T23:30:00Z,1.89,147.5,1.91,148.5,True
294,Over,1.91,134.0,Ohio Bobcats,Kent State Golden Flashes,FOX Bet,2022-01-07T23:30:00Z,1.91,147.5,1.92,147.5,True
295,Under,1.91,134.0,Ohio Bobcats,Kent State Golden Flashes,FOX Bet,2022-01-07T23:30:00Z,1.91,147.5,1.89,147.5,True
296,Over,1.91,135.5,Ohio Bobcats,Kent State Golden Flashes,FanDuel,2022-01-07T23:30:00Z,1.92,147.5,1.91,146.5,True
297,Under,1.91,135.5,Ohio Bobcats,Kent State Golden Flashes,FanDuel,2022-01-07T23:30:00Z,1.89,147.5,1.91,146.5,True
298,Over,1.87,134.5,Ohio Bobcats,Kent State Golden Flashes,PointsBet (US),2022-01-07T23:30:00Z,1.91,147.0,1.92,147.5,True
299,Under,1.95,134.5,Ohio Bobcats,Kent State Golden Flashes,PointsBet (US),2022-01-07T23:30:00Z,1.91,147.0,1.89,147.5,True
300,Over,1.93,136.0,Ohio Bobcats,Kent State Golden Flashes,SugarHouse,2022-01-07T23:30:00Z,1.91,147.0,1.91,147.0,True
301,Under,1.88,136.0,Ohio Bobcats,Kent State Golden Flashes,SugarHouse,2022-01-07T23:30:00Z,1.91,147.0,1.91,147.0,True
302,Over,1.93,136.0,Ohio Bobcats,Kent State Golden Flashes,TwinSpires,2022-01-07T23:30:00Z,1.94,147.5,1.95,147.0,True
303,Under,1.88,136.0,Ohio Bobcats,Kent State Golden Flashes,TwinSpires,2022-01-07T23:30:00Z,1.88,147.5,1.87,147.0,True
304,Over,1.89,136.0,Ohio Bobcats,Kent State Golden Flashes,Unibet,2022-01-07T23:30:00Z,1.92,147.0,1.88,146.5,True
305,Under,1.85,136.0,Ohio Bobcats,Kent State Golden Flashes,Unibet,2022-01-07T23:30:00Z,1.92,147.0,1.94,146.5,True
306,Over,1.91,135.5,Ohio Bobcats,Kent State Golden Flashes,William Hill (US),2022-01-07T23:30:00Z,1.87,147.0,1.84,146.5,True
307,Under,1.91,135.5,Ohio Bobcats,Kent State Golden Flashes,William Hill (US),2022-01-07T23:30:00Z,1.95,147.0,2.01,146.5,True
308,Over,1.87,134.5,Ohio Bobcats,Kent State Golden Flashes,WynnBET,2022-01-07T23:30:00Z,1.92,147.5,1.95,147.0,True
309,Under,1.95,134.5,Ohio Bobcats,Kent State Golden Flashes,WynnBET,2022-01-07T23:30:00Z,1.89,147.5,1.87,147.0,True
310,Over,1.91,157.5,Pennsylvania Quakers,Cornell Big Red,Barstool Sportsbook,2022-01-08T00:00:00Z,1.92,147.5,1.92,147.5,True
311,Under,1.89,157.5,Pennsylvania Quakers,Cornell Big Red,Barstool Sportsbook,2022-01-08T00:00:00Z,1.89,147.5,1.89,147.5,True
312,Over,1.91,157.5,Pennsylvania Quakers,Cornell Big Red,BetMGM,2022-01-08T00:00:00Z,1.88,147.5,1.92,147.5,True
313,Under,1.91,157.5,Pennsylvania Quakers,Cornell Big Red,BetMGM,2022-01-08T00:00:00Z,1.86,147.5,1.89,147.5,True
314,Over,1.91,157.5,Pennsylvania Quakers,Cornell Big Red,BetRivers,2022-01-08T00:00:00Z,1.91,147.0,1.88,147.5,True
315,Under,1.89,157.5,Pennsylvania Quakers,Cornell Big Red,BetRivers,2022-01-08T00:00:00Z,1.91,147.0,1.86,147.5,True
316,Over,1.91,156.5,Pennsylvania Quakers,Cornell Big Red,BetUS,2022-01-08T00:00:00Z,1.87,147.0,1.87,146.5,True
317,Under,1.91,156.5,Pennsylvania Quakers,Cornell Big Red,BetUS,2022-01-08T00:00:00Z,1.95,147.0,1.95,146.5,True
318,Over,1.95,157.5,Pennsylvania Quakers,Cornell Big Red,Bovada,2022-01-08T00:00:00Z,1.89,135.0,1.95,147.0,True
319,Under,1.87,157.5,Pennsylvania Quakers,Cornell Big Red,Bovada,2022-01-08T00:00:00Z,1.93,135.0,1.87,147.0,True
320,Over,1.91,157.5,Pennsylvania Quakers,Cornell Big Red,DraftKings,2022-01-08T00:00:00Z,1.91,135.5,1.89,135.0,True
321,Under,1.91,157.5,Pennsylvania Quakers,Cornell Big Red,DraftKings,2022-01-08T00:00:00Z,1.91,135.5,1.93,135.0,True
322,Over,1.91,157.5,Pennsylvania Quakers,Cornell Big Red,FOX Bet,2022-01-08T00:00:00Z,1.89,135.0,1.91,135.5,True
323,Under,1.91,157.5,Pennsylvania Quakers,Cornell Big Red,FOX Bet,2022-01-08T00:00:00Z,1.93,135.0,1.91,135.5,True
324,Over,1.91,157.5,Pennsylvania Quakers,Cornell Big Red,FanDuel,2022-01-08T00:00:00Z,1.91,136.0,1.89,135.0,True
325,Under,1.91,157.5,Pennsylvania Quakers,Cornell Big Red,FanDuel,2022-01-08T00:00:00Z,1.91,136.0,1.93,135.0,True
326,Over,1.92,157.5,Pennsylvania Quakers,Cornell Big Red,GTbets,2022-01-08T00:00:00Z,1.91,135.5,1.91,136.0,True
327,Under,1.92,157.5,Pennsylvania Quakers,Cornell Big Red,GTbets,2022-01-08T00:00:00Z,1.91,135.5,1.91,136.0,True
328,Over,1.91,157.5,Pennsylvania Quakers,Cornell Big Red,PointsBet (US),2022-01-08T00:00:00Z,1.91,135.0,1.95,135.5,True
