,name,price,point,home_team,away_team,bookmakers.title,commence_time,price2,point2
196,Over,1.92,143.5,Cincinnati Bearcats,SMU Mustangs,SugarHouse,2022-01-07T02:30:00Z,1.92,143.5
197,Under,1.89,143.5,Cincinnati Bearcats,SMU Mustangs,SugarHouse,2022-01-07T02:30:00Z,1.89,143.5
198,Over,1.92,143.5,Cincinnati Bearcats,SMU Mustangs,TwinSpires,2022-01-07T02:30:00Z,1.92,143.5
199,Under,1.89,143.5,Cincinnati Bearcats,SMU Mustangs,TwinSpires,2022-01-07T02:30:00Z,1.89,143.5
200,Over,1.88,143.5,Cincinnati Bearcats,SMU Mustangs,Unibet,2022-01-07T02:30:00Z,1.88,143.5
201,Under,1.86,143.5,Cincinnati Bearcats,SMU Mustangs,Unibet,2022-01-07T02:30:00Z,1.86,143.5
202,Over,1.91,143.5,Cincinnati Bearcats,SMU Mustangs,William Hill (US),2022-01-07T02:30:00Z,1.91,143.5
203,Under,1.91,143.5,Cincinnati Bearcats,SMU Mustangs,William Hill (US),2022-01-07T02:30:00Z,1.91,143.5
204,Over,1.87,143.5,Cincinnati Bearcats,SMU Mustangs,WynnBET,2022-01-07T02:30:00Z,1.87,143.5
205,Under,1.95,143.5,Cincinnati Bearcats,SMU Mustangs,WynnBET,2022-01-07T02:30:00Z,1.95,143.5
206,Over,1.93,130.0,Colorado Buffaloes,Washington St Cougars,Barstool Sportsbook,2022-01-07T02:00:00Z,1.93,130.0
207,Under,1.89,130.0,Colorado Buffaloes,Washington St Cougars,Barstool Sportsbook,2022-01-07T02:00:00Z,1.89,130.0
208,Over,1.91,129.5,Colorado Buffaloes,Washington St Cougars,BetMGM,2022-01-07T02:00:00Z,1.91,129.5
209,Under,1.91,129.5,Colorado Buffaloes,Washington St Cougars,BetMGM,2022-01-07T02:00:00Z,1.91,129.5
210,Over,1.93,130.0,Colorado Buffaloes,Washington St Cougars,BetRivers,2022-01-07T02:00:00Z,1.93,130.0
