,name,price,point,home_team,away_team,bookmakers.title,commence_time,price1,point1,price2,point2
89,Under,1.93,225.5,Denver Nuggets,Sacramento Kings,TwinSpires,2022-01-08T02:10:00Z,1.92,225.0,1.88,226.5
90,Over,1.89,225.5,Denver Nuggets,Sacramento Kings,Unibet,2022-01-08T02:10:00Z,1.89,225.0,1.93,226.5
91,Under,1.93,225.5,Denver Nuggets,Sacramento Kings,Unibet,2022-01-08T02:10:00Z,1.92,225.0,1.89,226.5
92,Over,1.91,225.5,Denver Nuggets,Sacramento Kings,William Hill (US),2022-01-08T02:10:00Z,1.91,225.5,1.91,225.5
93,Under,1.91,225.5,Denver Nuggets,Sacramento Kings,William Hill (US),2022-01-08T02:10:00Z,1.91,225.5,1.91,225.5
94,Over,1.91,225.5,Denver Nuggets,Sacramento Kings,WynnBET,2022-01-08T02:10:00Z,1.91,225.5,1.91,225.5
95,Under,1.91,225.5,Denver Nuggets,Sacramento Kings,WynnBET,2022-01-08T02:10:00Z,1.91,225.5,1.91,225.5
96,Over,1.89,216.5,Houston Rockets,Dallas Mavericks,Barstool Sportsbook,2022-01-08T01:10:00Z,1.89,215.5,1.89,214.0
97,Under,1.92,216.5,Houston Rockets,Dallas Mavericks,Barstool Sportsbook,2022-01-08T01:10:00Z,1.92,215.5,1.92,214.0
98,Over,1.91,216.5,Houston Rockets,Dallas Mavericks,BetMGM,2022-01-08T01:10:00Z,1.91,215.5,1.91,214.5
99,Under,1.91,216.5,Houston Rockets,Dallas Mavericks,BetMGM,2022-01-08T01:10:00Z,1.91,215.5,1.91,214.5
100,Over,1.9,215.5,Houston Rockets,Dallas Mavericks,BetOnline.ag,2022-01-08T01:10:00Z,1.9,215.0,1.9,214.0
101,Under,1.9,215.5,Houston Rockets,Dallas Mavericks,BetOnline.ag,2022-01-08T01:10:00Z,1.9,215.0,1.9,214.0
102,Over,1.89,216.5,Houston Rockets,Dallas Mavericks,BetRivers,2022-01-08T01:10:00Z,1.89,215.5,1.89,214.0
103,Under,1.92,216.5,Houston Rockets,Dallas Mavericks,BetRivers,2022-01-08T01:10:00Z,1.92,215.5,1.92,214.0
104,Over,1.91,215.5,Houston Rockets,Dallas Mavericks,BetUS,2022-01-08T01:10:00Z,1.91,215.0,1.91,214.0
105,Under,1.91,215.5,Houston Rockets,Dallas Mavericks,BetUS,2022-01-08T01:10:00Z,1.91,215.0,1.91,214.0
106,Over,1.91,215.5,Houston Rockets,Dallas Mavericks,Bovada,2022-01-08T01:10:00Z,1.91,215.5,1.91,214.0
107,Under,1.91,215.5,Houston Rockets,Dallas Mavericks,Bovada,2022-01-08T01:10:00Z,1.91,215.5,1.91,214.0
108,Over,1.91,215.5,Houston Rockets,Dallas Mavericks,DraftKings,2022-01-08T01:10:00Z,1.91,214.5,1.91,214.5
109,Under,1.91,215.5,Houston Rockets,Dallas Mavericks,DraftKings,2022-01-08T01:10:00Z,1.91,214.5,1.91,214.5
110,Over,1.91,216.5,Houston Rockets,Dallas Mavericks,FOX Bet,2022-01-08T01:10:00Z,1.91,215.0,1.91,214.0
111,Under,1.91,216.5,Houston Rockets,Dallas Mavericks,FOX Bet,2022-01-08T01:10:00Z,1.91,215.0,1.91,214.0
112,Over,1.91,215.5,Houston Rockets,Dallas Mavericks,FanDuel,2022-01-08T01:10:00Z,1.91,214.5,1.91,214.5
113,Under,1.89,215.5,Houston Rockets,Dallas Mavericks,FanDuel,2022-01-08T01:10:00Z,1.91,214.5,1.91,214.5
