,name,price,point,home_team,away_team,bookmakers.title,commence_time,price1,point1,price2,point2
75,Under,1.91,138.5,Detroit Mercy Titans,Milwaukee Panthers,BetUS,2022-01-08T00:00:00Z,1.91,131.5,1.91,131.0
76,Over,1.95,139.0,Detroit Mercy Titans,Milwaukee Panthers,DraftKings,2022-01-08T00:00:00Z,1.91,131.5,1.91,130.5
77,Under,1.87,139.0,Detroit Mercy Titans,Milwaukee Panthers,DraftKings,2022-01-08T00:00:00Z,1.91,131.5,1.91,130.5
78,Over,1.91,138.5,Detroit Mercy Titans,Milwaukee Panthers,FOX Bet,2022-01-08T00:00:00Z,1.93,139.0,1.93,136.5
79,Under,1.91,138.5,Detroit Mercy Titans,Milwaukee Panthers,FOX Bet,2022-01-08T00:00:00Z,1.89,139.0,1.88,136.5
80,Over,1.91,138.5,Detroit Mercy Titans,Milwaukee Panthers,FanDuel,2022-01-08T00:00:00Z,1.91,138.5,1.91,136.5
81,Under,1.91,138.5,Detroit Mercy Titans,Milwaukee Panthers,FanDuel,2022-01-08T00:00:00Z,1.91,138.5,1.91,136.5
82,Over,1.92,138.5,Detroit Mercy Titans,Milwaukee Panthers,GTbets,2022-01-08T00:00:00Z,1.93,139.0,1.93,136.5
83,Under,1.92,138.5,Detroit Mercy Titans,Milwaukee Panthers,GTbets,2022-01-08T00:00:00Z,1.89,139.0,1.88,136.5
84,Over,1.87,138.5,Detroit Mercy Titans,Milwaukee Panthers,PointsBet (US),2022-01-08T00:00:00Z,1.91,138.5,1.91,136.5
85,Under,1.95,138.5,Detroit Mercy Titans,Milwaukee Panthers,PointsBet (US),2022-01-08T00:00:00Z,1.91,138.5,1.91,136.5
86,Over,1.93,139.0,Detroit Mercy Titans,Milwaukee Panthers,SugarHouse,2022-01-08T00:00:00Z,2.0,139.5,1.91,137.5
87,Under,1.89,139.0,Detroit Mercy Titans,Milwaukee Panthers,SugarHouse,2022-01-08T00:00:00Z,1.83,139.5,1.91,137.5
88,Over,1.93,139.0,Detroit Mercy Titans,Milwaukee Panthers,TwinSpires,2022-01-08T00:00:00Z,1.91,138.5,1.91,137.0
89,Under,1.89,139.0,Detroit Mercy Titans,Milwaukee Panthers,TwinSpires,2022-01-08T00:00:00Z,1.91,138.5,1.91,137.0
90,Over,1.89,139.0,Detroit Mercy Titans,Milwaukee Panthers,Unibet,2022-01-08T00:00:00Z,1.91,138.5,1.87,136.5
91,Under,1.86,139.0,Detroit Mercy Titans,Milwaukee Panthers,Unibet,2022-01-08T00:00:00Z,1.91,138.5,1.95,136.5
92,Over,1.91,138.5,Detroit Mercy Titans,Milwaukee Panthers,William Hill (US),2022-01-08T00:00:00Z,1.92,138.5,1.92,136.5
93,Under,1.91,138.5,Detroit Mercy Titans,Milwaukee Panthers,William Hill (US),2022-01-08T00:00:00Z,1.92,138.5,1.92,136.5
94,Over,1.87,138.5,Detroit Mercy Titans,Milwaukee Panthers,WynnBET,2022-01-08T00:00:00Z,1.87,138.5,1.91,136.5
95,Under,1.95,138.5,Detroit Mercy Titans,Milwaukee Panthers,WynnBET,2022-01-08T00:00:00Z,1.95,138.5,1.91,136.5
96,Over,1.93,133.5,Fairfield Stags,Marist Red Foxes,Barstool Sportsbook,2022-01-08T00:00:00Z,1.93,139.0,1.93,136.5
97,Under,1.88,133.5,Fairfield Stags,Marist Red Foxes,Barstool Sportsbook,2022-01-08T00:00:00Z,1.89,139.0,1.88,136.5
98,Over,1.91,131.5,Fairfield Stags,Marist Red Foxes,BetMGM,2022-01-08T00:00:00Z,1.93,139.0,1.93,136.5
99,Under,1.91,131.5,Fairfield Stags,Marist Red Foxes,BetMGM,2022-01-08T00:00:00Z,1.89,139.0,1.88,136.5
100,Over,1.93,133.5,Fairfield Stags,Marist Red Foxes,BetRivers,2022-01-08T00:00:00Z,1.89,139.0,1.89,136.5
101,Under,1.88,133.5,Fairfield Stags,Marist Red Foxes,BetRivers,2022-01-08T00:00:00Z,1.86,139.0,1.85,136.5
102,Over,1.91,133.0,Fairfield Stags,Marist Red Foxes,BetUS,2022-01-08T00:00:00Z,1.91,138.5,1.91,136.5
103,Under,1.91,133.0,Fairfield Stags,Marist Red Foxes,BetUS,2022-01-08T00:00:00Z,1.91,138.5,1.91,136.5
104,Over,1.95,132.5,Fairfield Stags,Marist Red Foxes,Bovada,2022-01-08T00:00:00Z,1.87,138.5,1.91,136.5
105,Under,1.87,132.5,Fairfield Stags,Marist Red Foxes,Bovada,2022-01-08T00:00:00Z,1.95,138.5,1.91,136.5
106,Over,1.91,132.0,Fairfield Stags,Marist Red Foxes,DraftKings,2022-01-08T00:00:00Z,1.93,133.5,1.93,134.5
107,Under,1.91,132.0,Fairfield Stags,Marist Red Foxes,DraftKings,2022-01-08T00:00:00Z,1.89,133.5,1.89,134.5
108,Over,1.85,132.0,Fairfield Stags,Marist Red Foxes,FOX Bet,2022-01-08T00:00:00Z,1.91,133.5,1.91,135.5
109,Under,2.0,132.0,Fairfield Stags,Marist Red Foxes,FOX Bet,2022-01-08T00:00:00Z,1.91,133.5,1.91,135.5
110,Over,1.94,132.5,Fairfield Stags,Marist Red Foxes,FanDuel,2022-01-08T00:00:00Z,1.93,133.5,1.93,134.5
111,Under,1.88,132.5,Fairfield Stags,Marist Red Foxes,FanDuel,2022-01-08T00:00:00Z,1.89,133.5,1.89,134.5
112,Over,1.92,132.0,Fairfield Stags,Marist Red Foxes,GTbets,2022-01-08T00:00:00Z,1.91,133.0,1.91,135.0
113,Under,1.92,132.0,Fairfield Stags,Marist Red Foxes,GTbets,2022-01-08T00:00:00Z,1.91,133.0,1.91,135.0
114,Over,1.91,132.0,Fairfield Stags,Marist Red Foxes,PointsBet (US),2022-01-08T00:00:00Z,1.87,134.0,1.91,136.0
115,Under,1.91,132.0,Fairfield Stags,Marist Red Foxes,PointsBet (US),2022-01-08T00:00:00Z,1.95,134.0,1.91,136.0
116,Over,1.93,133.5,Fairfield Stags,Marist Red Foxes,SugarHouse,2022-01-08T00:00:00Z,1.91,133.5,1.91,135.5
117,Under,1.88,133.5,Fairfield Stags,Marist Red Foxes,SugarHouse,2022-01-08T00:00:00Z,1.91,133.5,1.91,135.5
118,Over,1.93,133.5,Fairfield Stags,Marist Red Foxes,TwinSpires,2022-01-08T00:00:00Z,1.91,133.0,1.91,135.0
119,Under,1.88,133.5,Fairfield Stags,Marist Red Foxes,TwinSpires,2022-01-08T00:00:00Z,1.91,133.0,1.91,135.0
120,Over,1.89,133.5,Fairfield Stags,Marist Red Foxes,Unibet,2022-01-08T00:00:00Z,1.85,133.5,1.85,135.5
121,Under,1.85,133.5,Fairfield Stags,Marist Red Foxes,Unibet,2022-01-08T00:00:00Z,1.96,133.5,1.96,135.5
122,Over,1.91,132.0,Fairfield Stags,Marist Red Foxes,William Hill (US),2022-01-08T00:00:00Z,1.92,133.5,1.92,135.0
123,Under,1.91,132.0,Fairfield Stags,Marist Red Foxes,William Hill (US),2022-01-08T00:00:00Z,1.92,133.5,1.92,135.0
124,Over,1.91,132.0,Fairfield Stags,Marist Red Foxes,WynnBET,2022-01-08T00:00:00Z,1.91,133.5,1.91,135.5
125,Under,1.91,132.0,Fairfield Stags,Marist Red Foxes,WynnBET,2022-01-08T00:00:00Z,1.91,133.5,1.91,135.5
126,Over,1.91,153.0,Georgetown Hoyas,Marquette Golden Eagles,Barstool Sportsbook,2022-01-07T23:30:00Z,1.93,133.5,1.93,134.5
127,Under,1.92,153.0,Georgetown Hoyas,Marquette Golden Eagles,Barstool Sportsbook,2022-01-07T23:30:00Z,1.89,133.5,1.89,134.5
128,Over,1.91,153.5,Georgetown Hoyas,Marquette Golden Eagles,BetMGM,2022-01-07T23:30:00Z,1.93,133.5,1.93,134.5
129,Under,1.91,153.5,Georgetown Hoyas,Marquette Golden Eagles,BetMGM,2022-01-07T23:30:00Z,1.89,133.5,1.89,134.5
130,Over,1.91,153.0,Georgetown Hoyas,Marquette Golden Eagles,BetRivers,2022-01-07T23:30:00Z,1.89,133.5,1.89,134.5
131,Under,1.92,153.0,Georgetown Hoyas,Marquette Golden Eagles,BetRivers,2022-01-07T23:30:00Z,1.85,133.5,1.85,134.5
132,Over,1.91,153.0,Georgetown Hoyas,Marquette Golden Eagles,BetUS,2022-01-07T23:30:00Z,1.91,133.5,1.91,135.5
133,Under,1.91,153.0,Georgetown Hoyas,Marquette Golden Eagles,BetUS,2022-01-07T23:30:00Z,1.91,133.5,1.91,135.5
134,Over,1.91,153.0,Georgetown Hoyas,Marquette Golden Eagles,Bovada,2022-01-07T23:30:00Z,1.91,133.5,1.91,135.5
135,Under,1.91,153.0,Georgetown Hoyas,Marquette Golden Eagles,Bovada,2022-01-07T23:30:00Z,1.91,133.5,1.91,135.5
136,Over,1.91,153.0,Georgetown Hoyas,Marquette Golden Eagles,DraftKings,2022-01-07T23:30:00Z,1.91,153.0,1.91,153.0
137,Under,1.91,153.0,Georgetown Hoyas,Marquette Golden Eagles,DraftKings,2022-01-07T23:30:00Z,1.92,153.0,1.92,153.0
138,Over,1.91,153.0,Georgetown Hoyas,Marquette Golden Eagles,FOX Bet,2022-01-07T23:30:00Z,1.91,153.5,1.91,153.5
139,Under,1.91,153.0,Georgetown Hoyas,Marquette Golden Eagles,FOX Bet,2022-01-07T23:30:00Z,1.91,153.5,1.91,153.5
140,Over,1.91,153.0,Georgetown Hoyas,Marquette Golden Eagles,FanDuel,2022-01-07T23:30:00Z,1.91,153.0,1.91,153.0
141,Under,1.91,153.0,Georgetown Hoyas,Marquette Golden Eagles,FanDuel,2022-01-07T23:30:00Z,1.92,153.0,1.92,153.0
142,Over,1.92,153.0,Georgetown Hoyas,Marquette Golden Eagles,GTbets,2022-01-07T23:30:00Z,1.91,153.0,1.91,153.0
143,Under,1.92,153.0,Georgetown Hoyas,Marquette Golden Eagles,GTbets,2022-01-07T23:30:00Z,1.91,153.0,1.91,153.0
144,Over,1.91,153.0,Georgetown Hoyas,Marquette Golden Eagles,PointsBet (US),2022-01-07T23:30:00Z,1.91,152.5,1.91,152.5
145,Under,1.91,153.0,Georgetown Hoyas,Marquette Golden Eagles,PointsBet (US),2022-01-07T23:30:00Z,1.91,152.5,1.91,152.5
