,name,price,point,home_team,away_team,bookmakers.title,commence_time
176,Over,1.91,140.5,Campbell Fighting Camels,Charleston Southern Buccaneers,TwinSpires,2022-01-13T00:00:00Z
177,Under,1.91,140.5,Campbell Fighting Camels,Charleston Southern Buccaneers,TwinSpires,2022-01-13T00:00:00Z
178,Over,1.87,140.5,Campbell Fighting Camels,Charleston Southern Buccaneers,Unibet,2022-01-13T00:00:00Z
179,Under,1.87,140.5,Campbell Fighting Camels,Charleston Southern Buccaneers,Unibet,2022-01-13T00:00:00Z
180,Over,1.91,139.5,Campbell Fighting Camels,Charleston Southern Buccaneers,William Hill (US),2022-01-13T00:00:00Z
181,Under,1.91,139.5,Campbell Fighting Camels,Charleston Southern Buccaneers,William Hill (US),2022-01-13T00:00:00Z
182,Over,1.91,139.5,Campbell Fighting Camels,Charleston Southern Buccaneers,WynnBET,2022-01-13T00:00:00Z
183,Under,1.91,139.5,Campbell Fighting Camels,Charleston Southern Buccaneers,WynnBET,2022-01-13T00:00:00Z
184,Over,1.93,143.5,Cincinnati Bearcats,East Carolina Pirates,Barstool Sportsbook,2022-01-13T00:00:00Z
185,Under,1.88,143.5,Cincinnati Bearcats,East Carolina Pirates,Barstool Sportsbook,2022-01-13T00:00:00Z
186,Over,1.91,142.5,Cincinnati Bearcats,East Carolina Pirates,BetMGM,2022-01-13T00:00:00Z
187,Under,1.91,142.5,Cincinnati Bearcats,East Carolina Pirates,BetMGM,2022-01-13T00:00:00Z
188,Over,1.93,143.5,Cincinnati Bearcats,East Carolina Pirates,BetRivers,2022-01-13T00:00:00Z
189,Under,1.88,143.5,Cincinnati Bearcats,East Carolina Pirates,BetRivers,2022-01-13T00:00:00Z
190,Over,1.91,143.5,Cincinnati Bearcats,East Carolina Pirates,BetUS,2022-01-13T00:00:00Z
191,Under,1.91,143.5,Cincinnati Bearcats,East Carolina Pirates,BetUS,2022-01-13T00:00:00Z
192,Over,1.91,143.0,Cincinnati Bearcats,East Carolina Pirates,Bovada,2022-01-13T00:00:00Z
193,Under,1.91,143.0,Cincinnati Bearcats,East Carolina Pirates,Bovada,2022-01-13T00:00:00Z
194,Over,1.95,144.0,Cincinnati Bearcats,East Carolina Pirates,DraftKings,2022-01-13T00:00:00Z
195,Under,1.87,144.0,Cincinnati Bearcats,East Carolina Pirates,DraftKings,2022-01-13T00:00:00Z
196,Over,1.91,143.0,Cincinnati Bearcats,East Carolina Pirates,FOX Bet,2022-01-13T00:00:00Z
197,Under,1.91,143.0,Cincinnati Bearcats,East Carolina Pirates,FOX Bet,2022-01-13T00:00:00Z
198,Over,1.91,143.5,Cincinnati Bearcats,East Carolina Pirates,FanDuel,2022-01-13T00:00:00Z
199,Under,1.91,143.5,Cincinnati Bearcats,East Carolina Pirates,FanDuel,2022-01-13T00:00:00Z
200,Over,1.96,143.5,Cincinnati Bearcats,East Carolina Pirates,GTbets,2022-01-13T00:00:00Z
201,Under,1.88,143.5,Cincinnati Bearcats,East Carolina Pirates,GTbets,2022-01-13T00:00:00Z
202,Over,1.97,143.5,Cincinnati Bearcats,East Carolina Pirates,LowVig.ag,2022-01-13T00:00:00Z
203,Under,1.89,143.5,Cincinnati Bearcats,East Carolina Pirates,LowVig.ag,2022-01-13T00:00:00Z
204,Over,1.87,143.0,Cincinnati Bearcats,East Carolina Pirates,PointsBet (US),2022-01-13T00:00:00Z
205,Under,1.95,143.0,Cincinnati Bearcats,East Carolina Pirates,PointsBet (US),2022-01-13T00:00:00Z
206,Over,1.93,143.5,Cincinnati Bearcats,East Carolina Pirates,SugarHouse,2022-01-13T00:00:00Z
207,Under,1.88,143.5,Cincinnati Bearcats,East Carolina Pirates,SugarHouse,2022-01-13T00:00:00Z
208,Over,1.93,143.5,Cincinnati Bearcats,East Carolina Pirates,TwinSpires,2022-01-13T00:00:00Z
209,Under,1.88,143.5,Cincinnati Bearcats,East Carolina Pirates,TwinSpires,2022-01-13T00:00:00Z
210,Over,1.89,143.5,Cincinnati Bearcats,East Carolina Pirates,Unibet,2022-01-13T00:00:00Z
211,Under,1.85,143.5,Cincinnati Bearcats,East Carolina Pirates,Unibet,2022-01-13T00:00:00Z
212,Over,1.91,143.0,Cincinnati Bearcats,East Carolina Pirates,William Hill (US),2022-01-13T00:00:00Z
213,Under,1.91,143.0,Cincinnati Bearcats,East Carolina Pirates,William Hill (US),2022-01-13T00:00:00Z
214,Over,1.87,143.0,Cincinnati Bearcats,East Carolina Pirates,WynnBET,2022-01-13T00:00:00Z
215,Under,1.95,143.0,Cincinnati Bearcats,East Carolina Pirates,WynnBET,2022-01-13T00:00:00Z
